Tiempo (ms);Ángulo 1
33797;115,351005554199
33830;114,84546661377
33863;113,959373474121
33897;112,698959350586
33930;111,076477050781
33964;109,110870361328
33997;106,827507019043
34030;104,258728027344
34063;101,446548461914
34097;98,4435729980469
34130;95,3090438842773
34163;92,1049575805664
34197;88,8985366821289
34230;85,7654724121094
34263;82,7838287353516
34297;80,0227355957031
34330;77,537353515625
34363;75,3712692260742
34397;73,5611267089844
34430;72,1405181884766
34463;71,1385650634766
34497;70,5736312866211
34530;70,4503936767578
34563;70,7647094726563
34597;71,5111618041992
34630;72,6831817626953
34663;74,2664947509766
34696;76,2369232177734
34730;78,5642776489258
34763;81,2127914428711
34796;84,1342468261719
34830;87,2614822387695
34863;90,5102233886719
34896;93,7905044555664
34930;97,0192413330078
34963;100,122894287109
34996;103,034385681152
35030;105,69669342041
35063;108,068893432617
35097;110,123420715332
35130;111,838790893555
35163;113,198348999023
35196;114,191284179688
35230;114,810478210449
35263;115,051856994629
35296;114,914939880371
35330;114,400909423828
35363;113,512214660645
35396;112,256538391113
35430;110,649551391602
35463;108,712028503418
35496;106,467895507813
35530;103,946388244629
35563;101,184226989746
35596;98,2286682128906
35629;95,1394195556641
35663;91,9840927124023
35696;88,8334808349609
35729;85,7619781494141
35763;82,844596862793
35796;80,1488342285156
35829;77,7293395996094
35863;75,6272048950195
35896;73,872932434082
35929;72,4923248291016
35964;71,5113525390625
35996;70,954948425293
36029;70,8396377563477
36063;71,1670837402344
36096;71,9266815185547
36129;73,1033096313477
36163;74,6817398071289
36196;76,6442031860352
36229;78,9637832641602
36263;81,5983734130859
36296;84,4888458251953
36329;87,563606262207
36363;90,7441558837891
36396;93,9477462768555
36429;97,0939636230469
36463;100,113487243652
36496;102,948753356934
36529;105,549530029297
36562;107,871841430664
36596;109,88028717041
36629;111,54988861084
36663;112,864639282227
36696;113,815452575684
36729;114,399200439453
36762;114,615287780762
36796;114,461441040039
36829;113,93529510498
36863;113,039680480957
36896;111,785263061523
36929;110,188087463379
36962;108,267883300781
36996;106,049613952637
37029;103,564170837402
37062;100,848335266113
37096;97,9469299316406
37129;94,9162979125977
37162;91,8232955932617
37196;88,7392959594727
37229;85,7372360229492
37262;82,888671875
37296;80,2563934326172
37329;77,8916244506836
37362;75,83740234375
